iter	Logloss
0	0.665311517
1	0.6408723572
2	0.6169031344
3	0.5952364545
4	0.5747479725
5	0.5568316571
6	0.54055852
7	0.5243048606
8	0.5104136458
9	0.4968615545
10	0.4851546726
11	0.4738573336
12	0.4635225261
13	0.4533140863
14	0.4442108361
15	0.4355776014
16	0.4278544408
17	0.4207734779
18	0.4142504981
19	0.4086588854
20	0.4030176208
21	0.3977605528
22	0.3931504427
23	0.3885645327
24	0.3844820162
25	0.3808800063
26	0.3774326717
27	0.3743538977
28	0.371456311
29	0.3688710678
30	0.3660902784
31	0.3634861573
32	0.3613033001
33	0.3591179672
34	0.3573852133
35	0.3554988857
36	0.3538252918
37	0.3521979746
38	0.3507363165
39	0.3493072644
40	0.3479647642
41	0.3466824969
42	0.3454008735
43	0.3443344811
44	0.3432354033
45	0.3423590045
46	0.3413623882
47	0.340532905
48	0.3397766309
49	0.3391777381
50	0.3384528406
51	0.337867953
52	0.337202481
53	0.3365093893
54	0.3358840187
55	0.3351787093
56	0.3346928685
57	0.3341100104
58	0.3336071814
59	0.3332003085
60	0.3326677341
61	0.3323302122
62	0.3318056701
63	0.3313916312
64	0.3309450797
65	0.3305651325
66	0.3301854537
67	0.3298374622
68	0.3295571207
69	0.3292638093
70	0.3289883227
71	0.3287491564
72	0.3284572783
73	0.3282630836
74	0.3280713619
75	0.3278036751
76	0.3276010689
77	0.3273671173
78	0.3271484258
79	0.3269222534
80	0.3267252995
81	0.3265082156
82	0.3263546858
83	0.3261846766
84	0.3259658406
85	0.3258098222
86	0.3256666354
87	0.3255263137
88	0.3254089846
89	0.3253052661
90	0.3251759997
91	0.3250706343
92	0.3248920276
93	0.3247789939
94	0.3246803074
95	0.3245233119
96	0.3243880912
97	0.3242649647
98	0.3241779345
99	0.3241103512
100	0.3240127523
101	0.3239189363
102	0.3237873615
103	0.3236976328
104	0.3235813577
105	0.3235153832
106	0.3234353563
107	0.3233516935
108	0.3232663857
109	0.3231694135
110	0.3231029416
111	0.323036889
112	0.3229701053
113	0.3229122635
114	0.3228478015
115	0.3227794441
116	0.3226854609
117	0.3226008941
118	0.3225363795
119	0.3224934347
120	0.322402848
121	0.3223395713
122	0.322281066
123	0.3222069827
124	0.3221394375
125	0.3220636844
126	0.3219963995
127	0.3219389709
128	0.3218765675
129	0.3218219063
130	0.3217630923
131	0.3217034766
132	0.3216577412
133	0.3216072591
134	0.3215525385
135	0.3214945895
136	0.3214489371
137	0.3214009784
138	0.3213449193
139	0.3212938262
140	0.3212478886
141	0.3211852837
142	0.3211343418
143	0.3210875626
144	0.3210394753
145	0.3209911181
146	0.3209399635
147	0.3209088215
148	0.3208569128
