iter	Passed	Remaining
0	106	106158
1	183	91811
2	286	95293
3	380	94674
4	532	105884
5	908	150582
6	1016	144207
7	1117	138627
8	1230	135448
9	1332	131912
10	1441	129592
11	1529	125896
12	1606	121941
13	1695	119423
14	1815	119192
15	2036	125238
16	2126	122941
17	2231	121745
18	2318	119686
19	2429	119037
20	2538	118341
21	2646	117666
22	2743	116547
23	2823	114838
24	2984	116401
25	3157	118271
26	3277	118117
27	3376	117227
28	3468	116137
29	3564	115253
30	3669	114699
31	3768	113983
32	3857	113049
33	3971	112824
34	4108	113272
35	4300	115161
36	4401	114558
37	4512	114236
38	4621	113866
39	4715	113173
40	4815	112632
41	4917	112158
42	5011	111529
43	5141	111702
44	5355	113649
45	5510	114272
46	5691	115394
47	5876	116542
48	6094	118274
49	6329	120259
50	6643	123629
51	6873	125301
52	7080	126510
53	7272	127404
54	7470	128364
55	7689	129622
56	7993	132248
57	8229	133655
58	8438	134589
59	8599	134727
60	8775	135085
61	8994	136071
62	9497	141252
63	9747	142551
64	9867	141934
65	9977	141200
66	10067	140196
67	10180	139534
68	10279	138704
69	10397	138139
70	10536	137864
71	10767	138777
72	10878	138138
73	10984	137459
74	11082	136680
75	11181	135946
76	11279	135208
77	11396	134714
78	11494	134007
79	11608	133502
80	11819	134099
81	11966	133971
82	12061	133254
83	12149	132485
84	12260	131980
85	12359	131358
86	12467	130837
87	12580	130381
88	12675	129744
89	12773	129158
90	12959	129449
91	13153	129815
92	13252	129243
93	13366	128834
94	13492	128533
95	13587	127949
96	13705	127589
97	13811	127120
98	13908	126582
99	14041	126371
100	14255	126890
101	14372	126529
102	14500	126277
103	14621	125968
104	14726	125522
105	14834	125110
106	14931	124613
107	15034	124177
108	15189	124163
109	15419	124755
110	15522	124319
111	15635	123970
112	15738	123541
113	15843	123138
114	15941	122683
115	16037	122213
116	16113	121605
117	16216	121211
118	16565	122640
119	16759	122899
120	16861	122491
121	16978	122191
122	17075	121751
123	17174	121326
124	17269	120886
125	17403	120721
126	17522	120450
127	17649	120239
128	17889	120789
129	18002	120480
130	18108	120125
131	18210	119745
132	18303	119316
133	18412	118994
134	18507	118581
135	18621	118301
136	18778	118289
137	18997	118664
138	19088	118239
139	19200	117945
140	19305	117613
141	19414	117304
142	19564	117247
143	19760	117464
144	20034	118135
145	20381	119217
146	20556	119281
147	20737	119380
148	20956	119688
149	21159	119904
150	21482	120784
151	21760	121400
152	21986	121718
153	22177	121832
154	22305	121600
155	22504	121753
156	22784	122338
157	23038	122775
158	23278	123124
159	23477	123257
160	23595	122961
161	23713	122665
162	23831	122373
163	24195	123340
164	24378	123367
165	24481	122996
166	24590	122655
167	24688	122267
168	24806	121978
169	24915	121644
170	25015	121274
171	25128	120966
172	25281	120852
173	25505	121079
174	25609	120731
175	25705	120350
176	25830	120103
177	25950	119840
178	26045	119459
179	26145	119105
180	26247	118765
181	26395	118633
182	26607	118786
183	26718	118492
184	26845	118265
185	26950	117945
186	27055	117627
187	27167	117341
188	27255	116952
189	27356	116623
190	27468	116344
191	27698	116565
192	27835	116389
193	27954	116139
194	28053	115811
195	28153	115486
196	28253	115166
197	28352	114840
198	28451	114521
199	28556	114227
200	28703	114101
201	28969	114445
202	29067	114120
203	29158	113773
204	29259	113469
205	29359	113162
206	29459	112857
207	29568	112586
208	29628	112135
209	29693	111705
210	29833	111557
211	30074	111784
212	30200	111587
213	30307	111314
214	30414	111048
215	30514	110755
216	30630	110524
217	30750	110305
218	30846	110005
219	30988	109867
220	31369	110574
221	31483	110335
222	31592	110077
223	31686	109771
224	31790	109499
225	31897	109240
226	32030	109073
227	32127	108781
228	32228	108506
229	32496	108792
230	32595	108509
231	32711	108286
232	32811	108010
233	32918	107758
234	33028	107519
235	33135	107270
236	33243	107025
237	33334	106725
238	33603	106997
239	33763	106918
240	33980	107016
241	34190	107093
242	34309	106882
243	34476	106820
244	34729	107022
245	35076	107511
246	35283	107564
247	35403	107353
248	35589	107340
249	35807	107422
250	36093	107703
251	36411	108077
252	36615	108109
253	36801	108085
254	37023	108166
255	37220	108171
256	37447	108262
257	37750	108570
258	37857	108310
259	37962	108045
260	38044	107719
261	38142	107440
262	38246	107178
263	38374	106983
264	38493	106764
265	38582	106464
266	38715	106285
267	39095	106782
268	39184	106482
269	39317	106303
270	39419	106040
271	39518	105769
272	39615	105496
273	39698	105186
274	39797	104921
275	39900	104665
276	40052	104541
277	40274	104596
278	40390	104379
279	40481	104096
280	40589	103857
281	40696	103617
282	40794	103355
283	40896	103104
284	40989	102833
285	41095	102594
286	41256	102494
287	41476	102538
288	41566	102262
289	41666	102012
290	41776	101784
291	41881	101548
292	41985	101308
293	42088	101070
294	42196	100843
295	42313	100636
296	42556	100732
297	42683	100549
298	42789	100318
299	42897	100094
300	42993	99842
301	43110	99638
302	43210	99397
303	43310	99159
304	43413	98925
305	43590	98861
306	43775	98814
307	43847	98514
308	43949	98282
309	44044	98033
310	44140	97790
311	44232	97537
312	44328	97297
313	44431	97070
314	44541	96860
315	44654	96656
316	44977	96906
317	45085	96693
318	45185	96461
319	45280	96221
320	45392	96016
321	45511	95829
322	45624	95627
323	45730	95413
324	46052	95648
325	46280	95684
326	46373	95441
327	46476	95219
328	46596	95034
329	46696	94808
330	46807	94604
331	46916	94397
332	47011	94163
333	47137	93991
334	47394	94082
335	47495	93859
336	47606	93659
337	47767	93556
338	47971	93537
339	48169	93505
340	48440	93614
341	48741	93777
342	48966	93792
343	49123	93676
344	49316	93629
345	49533	93626
346	49785	93689
347	50138	93937
348	50330	93882
349	50525	93832
350	50737	93814
351	50912	93725
352	51095	93651
353	51399	93797
354	51651	93845
355	51865	93824
356	51971	93606
357	52073	93383
358	52171	93153
359	52269	92923
360	52376	92710
361	52554	92622
362	52739	92548
363	52846	92336
364	52960	92136
365	53070	91930
366	53173	91713
367	53278	91500
368	53376	91274
369	53492	91082
370	53798	91210
371	54043	91234
372	54160	91042
373	54263	90825
374	54373	90622
375	54489	90429
376	54594	90218
377	54704	90015
378	54816	89818
379	55006	89747
380	55201	89684
381	55307	89476
382	55408	89261
383	55499	89030
384	55604	88823
385	55706	88610
386	55799	88385
387	55925	88212
388	56042	88024
389	56286	88037
390	56469	87954
391	56574	87748
392	56671	87531
393	56774	87323
394	56900	87151
395	56991	86925
396	57103	86734
397	57256	86604
398	57504	86616
399	57612	86418
400	57726	86230
401	57835	86034
402	57966	85870
403	58070	85668
404	58178	85472
405	58287	85277
406	58427	85129
407	58637	85081
408	58767	84918
409	58875	84723
410	58988	84535
411	59086	84327
412	59187	84123
413	59287	83919
414	59395	83726
415	59506	83537
416	59929	83786
417	60055	83617
418	60166	83429
419	60264	83222
420	60361	83014
421	60464	82815
422	60563	82612
423	60677	82429
424	60811	82273
425	61077	82296
426	61215	82146
427	61321	81953
428	61424	81756
429	61521	81552
430	61631	81364
431	61731	81166
432	61860	81004
433	62158	81064
434	62438	81098
435	62630	81017
436	62854	80977
437	63051	80902
438	63242	80818
439	63587	80929
440	63874	80965
441	64068	80882
442	64299	80846
443	64494	80763
444	64683	80672
445	64931	80654
446	65257	80732
447	65447	80640
448	65659	80575
449	65879	80519
450	66004	80347
451	66130	80175
452	66421	80204
453	66626	80128
454	66728	79927
455	66822	79717
456	66937	79534
457	67032	79326
