iter	Logloss
0	0.6362787715
1	0.5940535755
2	0.5597687943
3	0.531684646
4	0.510472319
5	0.4928826564
6	0.4799475531
7	0.4709629353
8	0.4633895313
9	0.4569984726
10	0.4509286782
11	0.4462912968
12	0.4425633749
13	0.4391293316
14	0.4368124695
15	0.4353063431
16	0.4335180368
17	0.4323401525
18	0.4306802952
19	0.4298461143
20	0.4286319662
21	0.4275659558
22	0.4272487175
23	0.4265937492
24	0.4259905328
25	0.425323296
26	0.4249187123
27	0.4245066535
28	0.424128341
29	0.4239632833
30	0.4235517625
31	0.4233465445
32	0.4231016317
33	0.4228653888
34	0.4225306762
35	0.4224329863
36	0.4222951564
37	0.4221809909
38	0.422042046
39	0.4219394807
40	0.4217173277
41	0.4215758422
42	0.4215483622
43	0.4211865908
44	0.4207807598
45	0.4206454052
46	0.4201096013
47	0.4200271995
48	0.4200083291
49	0.4199754425
50	0.4199684854
51	0.4198744825
52	0.4198388052
53	0.419838805
54	0.4197999794
55	0.4197611927
56	0.4196381905
57	0.419521401
58	0.4194482543
59	0.4194382466
60	0.4194055683
61	0.4193820162
62	0.4191425459
63	0.4190321562
64	0.4190321552
65	0.4188843365
66	0.4187737145
67	0.4187008827
68	0.4186155672
69	0.4185800169
70	0.4185724177
71	0.4185724127
72	0.4184354065
73	0.4183816239
74	0.4182663248
75	0.4182422717
76	0.418175207
77	0.4181741049
78	0.4181330081
79	0.4181004701
80	0.4180260485
81	0.4179864875
82	0.4178202727
83	0.4177300071
84	0.4177235827
85	0.4177174633
86	0.4176313536
87	0.4176260488
88	0.4175501805
89	0.4175318125
90	0.4174737777
91	0.4174603741
92	0.417460374
93	0.4174603506
94	0.4174459799
95	0.4174352582
96	0.4174051657
97	0.4173454224
98	0.4172132636
99	0.4172108466
100	0.4171413251
101	0.417137888
102	0.417133676
103	0.4171251567
104	0.4171251023
105	0.4170985758
106	0.4170825506
107	0.4170726338
108	0.4170726336
109	0.4170378369
110	0.4170378369
111	0.4170347801
112	0.4170338778
113	0.4170178879
114	0.4170178447
115	0.4170022652
116	0.4170001211
117	0.4169767319
118	0.4169433635
119	0.4169111215
120	0.4168901852
121	0.4168698078
122	0.4168684489
123	0.4168292402
124	0.4168285009
125	0.4167738999
126	0.4167654325
127	0.4167588776
128	0.4167568264
129	0.4167158684
130	0.4167125582
131	0.4167125107
132	0.4166900238
133	0.416605103
134	0.4166013536
135	0.4165987438
136	0.4164898527
137	0.4164898525
138	0.4164651198
139	0.4164533546
140	0.4164103875
141	0.4164055945
142	0.4163991079
143	0.4163872814
144	0.4162950413
145	0.4162239441
146	0.4161220527
147	0.4159044883
148	0.4158796757
149	0.4158136946
150	0.4157492877
151	0.4157492877
152	0.415747412
153	0.4156941095
154	0.4155887024
155	0.4155751837
156	0.4155085691
157	0.4153987842
158	0.4153443874
159	0.4153012091
160	0.4152752649
161	0.4152012413
162	0.4151181849
163	0.415077655
164	0.4150361718
165	0.4149632424
166	0.4149058255
167	0.4148681414
168	0.4148486549
169	0.4148258262
170	0.4147073809
171	0.4146596733
172	0.4146297403
173	0.4145839094
174	0.414530269
175	0.4144771033
176	0.4144337588
177	0.4144060728
178	0.4143173917
179	0.4142814618
180	0.4142528212
181	0.4142247294
182	0.4141869482
183	0.4140954005
184	0.4140757036
185	0.4140395708
186	0.4140251724
187	0.4140000596
188	0.4139837929
189	0.4139288598
190	0.413903181
191	0.4138931122
192	0.4138357158
193	0.4137962092
194	0.4137833625
195	0.413750754
196	0.4137157155
197	0.4137070877
198	0.4136818908
199	0.4136703292
200	0.4136536771
201	0.413636181
202	0.4136290377
203	0.4136113273
204	0.4135572385
205	0.4135186257
206	0.4134856779
207	0.4134638178
208	0.4134544925
209	0.4134369731
210	0.413422862
211	0.4134105207
212	0.4133780634
213	0.4133761093
214	0.4133490126
215	0.4133313534
216	0.41331419
217	0.4132988274
218	0.41329226
219	0.41322976
220	0.4132132833
221	0.4131977861
222	0.4131499703
223	0.4131370276
224	0.4131283115
225	0.4130992774
226	0.4130764767
227	0.4130567309
228	0.4130478062
229	0.4130409925
