iter	Passed	Remaining
0	288	144143
1	552	137552
2	817	135371
3	1122	139205
4	1568	155260
5	2012	165665
6	2474	174249
7	2884	177366
8	3376	184188
9	3784	185432
10	4224	187784
11	4688	190650
12	5048	189139
13	5305	184189
14	5527	178725
15	5769	174514
16	6028	171288
17	6282	168241
18	6550	165833
19	6757	162181
20	6998	159631
21	7251	157557
22	7397	153418
23	7662	151979
24	7916	150416
25	8150	148583
26	8362	146500
27	8609	145131
28	8798	142900
29	9034	141539
30	9276	140338
31	9428	137891
32	9620	136141
33	9885	135487
34	10124	134508
35	10240	131987
36	10387	129985
37	10603	128918
38	10852	128277
39	11008	126600
40	11244	125879
41	11472	125101
42	11606	123357
43	11765	121929
44	11968	121015
45	12217	120584
46	12483	120317
47	12728	119862
48	12842	118202
49	13046	117420
50	13167	115925
51	13412	115553
52	13534	114146
53	13621	112506
54	13840	111978
55	14071	111564
56	14277	110963
57	14520	110656
58	14715	109992
59	14841	108836
60	15097	108654
61	15442	109096
62	15718	109028
63	16159	110083
64	16287	109003
65	16749	110140
66	17229	111348
67	17653	112153
68	18040	112685
69	18326	112574
70	18511	111849
71	18717	111265
72	19008	111185
73	19251	110826
74	19432	110116
75	19595	109323
76	19707	108264
77	19807	107165
78	20065	106933
79	20191	106002
80	20389	105471
81	20566	104836
82	20829	104649
83	21088	104437
84	21222	103617
85	21382	102933
86	21623	102648
87	21820	102159
88	22072	101931
89	22313	101650
90	22563	101412
91	22783	101038
92	22865	100068
93	23133	99918
94	23740	101209
95	24161	101679
96	24409	101412
97	24539	100663
98	24789	100410
99	24888	99555
100	25143	99330
101	25252	98532
102	25418	97971
103	25534	97228
104	25645	96474
105	25891	96239
106	26044	95658
107	26301	95464
108	26408	94730
109	26509	93988
110	26589	93183
111	26749	92669
112	26858	91984
113	27047	91583
114	27164	90943
115	27399	90703
116	27643	90490
117	28014	90690
118	28483	91194
119	28769	91101
120	29485	92355
121	30441	94319
122	31009	95046
123	31660	96001
124	31812	95436
125	32251	95729
126	32460	95335
127	32687	94997
128	32886	94581
129	33132	94299
130	33274	93728
131	33367	93025
132	33542	92558
133	33755	92199
134	33913	91693
135	34016	91045
136	34257	90769
137	34339	90077
138	34529	89677
139	34646	89091
140	34887	88827
141	35036	88331
142	35185	87840
143	35334	87354
144	35589	87133
145	35839	86899
146	36076	86633
147	36315	86372
148	36502	85988
149	36758	85770
150	36996	85509
151	37077	84886
152	37191	84348
153	37432	84102
154	37700	83913
155	37933	83647
156	38228	83518
157	38644	83647
158	38997	83636
159	39555	84055
160	39922	84061
161	40317	84118
162	40838	84433
163	41133	84273
164	41687	84638
165	42003	84513
166	42509	84764
167	43401	85769
168	43968	86116
169	44727	86824
170	45597	87727
171	46334	88358
172	47254	89319
173	47717	89401
174	48360	89812
175	48876	89977
176	49278	89925
177	49841	90161
178	50518	90594
179	51151	90935
180	51783	91265
181	52448	91641
182	53064	91921
183	53917	92597
184	54757	93236
185	55247	93266
186	55707	93242
187	56156	93196
188	56580	93102
189	56971	92953
190	57511	93042
191	58141	93268
192	58748	93449
193	59404	93700
194	60113	94024
195	60785	94279
196	61358	94373
197	61770	94215
198	62187	94062
199	62710	94065
200	63151	93941
201	63539	93736
202	63887	93470
203	64113	93027
204	64358	92613
205	64602	92199
206	64852	91795
207	65089	91375
208	65335	90970
209	65541	90509
210	65797	90120
211	66035	89709
212	66279	89305
213	66513	88891
214	66761	88498
215	66985	88074
216	67227	87674
217	67469	87277
218	67705	86873
219	67964	86500
220	68208	86108
221	68453	85720
222	68700	85336
223	68954	84961
224	69186	84560
225	69435	84182
226	69687	83809
227	69944	83441
228	70182	83054
229	70411	82657
